model,question_id,grade,topic,subtopic,difficulty,question,choices,correct_option,answer_value,solution_steps,answer_expression,source_chunks,retrieved_context_texts,math_checker_pass,latency_sec,cost_usd,note
GPT-4o-mini,11,4,pengolahan_data,diagram batang,mudah,"Sebuah kelas melakukan survei tentang jenis buah favorit. Berikut adalah hasil survei dalam bentuk diagram batang: Apel 5, Jeruk 3, Pisang 4, Mangga 2. Berapa jumlah total siswa yang disurvei?","[""A. 14"", ""B. 12"", ""C. 10"", ""D. 16""]",A,14,"[""Hitung jumlah siswa untuk setiap jenis buah: Apel (5) + Jeruk (3) + Pisang (4) + Mangga (2)."", ""Jumlahkan semua hasil tersebut untuk mendapatkan total siswa yang disurvei.""]",5 + 3 + 4 + 2,[],[],True,3.33,0.00018,baseline_no_pipeline
GPT-4o-mini,12,4,pengolahan_data,diagram batang,sedang,"Di sebuah kelas, jumlah siswa yang menyukai berbagai jenis buah adalah sebagai berikut: Apel 10, Pisang 15, Jeruk 12, dan Mangga 8. Jika dibuat diagram batang, berapa tinggi batang yang mewakili siswa yang menyukai Pisang?","[""A. 15 cm"", ""B. 12 cm"", ""C. 10 cm"", ""D. 8 cm""]",A,15 cm,"[""Identifikasi jumlah siswa yang menyukai Pisang, yaitu 15."", ""Tentukan skala untuk diagram batang. Misalkan 1 cm mewakili 1 siswa. Maka tinggi batang untuk Pisang adalah 15 cm.""]",15 siswa x 1 cm/siswa = 15 cm,[],[],False,5.09,0.00019,baseline_no_pipeline
GPT-4o-mini,13,4,pecahan,penjumlahan pecahan,sedang,"Sebuah pizza dibagi menjadi 8 potong. Jika Rina telah memakan 3 potong dan Budi telah memakan 2 potong, berapa sisa pizza yang belum dimakan dalam bentuk pecahan?","[""A. 3/8"", ""B. 1/2"", ""C. 5/8"", ""D. 1/4""]",A,3/8,"[""Hitung total potong pizza yang telah dimakan: 3 + 2 = 5 potong."", ""Hitung sisa potong pizza: 8 - 5 = 3 potong. Kemudian, ubah sisa potong menjadi pecahan dari total potong: 3/8.""]",3/8,[],[],True,3.52,0.00019,baseline_no_pipeline
GPT-4o-mini,14,4,aritmetika_sosial,pembagian,sedang,"Sebuah toko menjual 120 permen. Jika permen tersebut dibagikan secara merata kepada 8 anak, berapa banyak permen yang didapat setiap anak?","[""A. 15"", ""B. 12"", ""C. 10"", ""D. 20""]",A,15,"[""Langkah 1: Hitung jumlah permen yang didapat setiap anak dengan membagi total permen dengan jumlah anak. 120 dibagi 8."", ""Langkah 2: 120 : 8 = 15. Jadi, setiap anak mendapatkan 15 permen.""]",120 : 8,[],[],True,3.51,0.00017,baseline_no_pipeline
GPT-4o-mini,15,4,bilangan,penjumlahan dan pengurangan,mudah,Sebuah toko menjual 125 buah pensil dan 88 buah penghapus. Berapa total jumlah pensil dan penghapus yang dijual di toko tersebut?,"[""A. 213"", ""B. 200"", ""C. 150"", ""D. 180""]",A,213,"[""Langkah 1: Tambahkan jumlah pensil dan penghapus. 125 + 88."", ""Langkah 2: Hitung hasil penjumlahan. 125 + 88 = 213.""]",125 + 88,[],[],True,3.48,0.00016,baseline_no_pipeline
GPT-4o-mini,16,4,geometri,bangun datar,sedang,Sebuah persegi memiliki panjang sisi 6 cm. Berapa luas dari persegi tersebut?,"[""A. 36 cm²"", ""B. 24 cm²"", ""C. 18 cm²"", ""D. 30 cm²""]",A,36,"[""Langkah 1: Hitung luas persegi dengan rumus luas = sisi x sisi."", ""Langkah 2: Substitusikan nilai sisi ke dalam rumus, yaitu 6 cm x 6 cm.""]",6 x 6,[],[],False,3.06,0.00016,baseline_no_pipeline
GPT-4o-mini,17,4,kpk_fpb,FPB,mudah,Dua bilangan adalah 12 dan 18. Berapa FPB dari kedua bilangan tersebut?,"[""A. 6"", ""B. 12"", ""C. 18"", ""D. 36""]",A,6,"[""Faktorkan 12 menjadi 2 x 2 x 3."", ""Faktorkan 18 menjadi 2 x 3 x 3. FPB adalah hasil kali faktor yang sama, yaitu 2 x 3 = 6.""]","FPB(12, 18) = 6",[],[],False,3.09,0.00016,baseline_no_pipeline
GPT-4o-mini,18,4,pecahan,penjumlahan pecahan,sedang,"Jika Rina memiliki 2/5 kue dan Budi memiliki 1/5 kue, berapa banyak kue yang mereka miliki jika digabungkan?","[""A. 3/5"", ""B. 4/5"", ""C. 1/2"", ""D. 1/5""]",A,3/5,"[""Langkah 1: Jumlahkan pecahan 2/5 dan 1/5."", ""Langkah 2: 2/5 + 1/5 = (2 + 1)/5 = 3/5.""]",2/5 + 1/5 = 3/5,[],[],True,4.11,0.00018,baseline_no_pipeline
GPT-4o-mini,19,4,penjumlahan_pengurangan,penjumlahan,mudah,Siti memiliki 125 kelereng. Ia membeli 37 kelereng lagi. Berapa total kelereng yang dimiliki Siti sekarang?,"[""A. 162"", ""B. 150"", ""C. 175"", ""D. 140""]",A,162,"[""Langkah 1: Tambahkan jumlah kelereng yang dimiliki Siti dengan kelereng yang dibeli."", ""Langkah 2: Hitung 125 + 37.""]",125 + 37,[],[],True,3.17,0.00016,baseline_no_pipeline
GPT-4o-mini,20,4,geometri,bangun datar,mudah,Sebuah segitiga memiliki panjang alas 8 cm dan tinggi 5 cm. Berapa luas segitiga tersebut?,"[""A. 20 cm²"", ""B. 30 cm²"", ""C. 25 cm²"", ""D. 15 cm²""]",A,20 cm²,"[""Langkah 1: Gunakan rumus luas segitiga, yaitu Luas = 1/2 x alas x tinggi."", ""Langkah 2: Masukkan nilai alas dan tinggi ke dalam rumus, yaitu Luas = 1/2 x 8 cm x 5 cm.""]",1/2 x 8 x 5,[],[],False,3.25,0.00018,baseline_no_pipeline
GPT-4o-mini,21,4,pengukuran,panjang,sedang,"Sebuah tali berukuran 3,5 meter dipotong menjadi 4 bagian yang sama panjang. Berapa panjang masing-masing bagian tali tersebut?","[""A. 0,875 meter"", ""B. 1,25 meter"", ""C. 0,5 meter"", ""D. 1 meter""]",A,"0,875","[""Hitung panjang tali yang dipotong dengan membagi total panjang tali dengan jumlah bagian: 3,5 meter ÷ 4."", ""Hasil pembagian tersebut adalah panjang masing-masing bagian tali.""]","3,5 ÷ 4",[],[],True,3.05,0.00017,baseline_no_pipeline
GPT-4o-mini,22,4,aritmetika_sosial,diskon,sedang,"Sebuah baju dijual dengan harga asli Rp200.000,00. Saat sale, baju tersebut mendapatkan diskon 15%. Berapa harga baju setelah diskon?","[""A. 170.000"", ""B. 180.000"", ""C. 150.000"", ""D. 160.000""]",A,170.000,"[""Hitung jumlah diskon dengan mengalikan harga asli dengan persentase diskon: 200.000 x 15% = 200.000 x 0,15 = 30.000."", ""Kurangi harga asli dengan jumlah diskon untuk mendapatkan harga setelah diskon: 200.000 - 30.000 = 170.000.""]","200.000 - (200.000 x 0,15)",[],[],False,3.78,0.0002,baseline_no_pipeline
GPT-4o-mini,23,4,bilangan,penjumlahan dan pengurangan bilangan besar,sulit,"Sebuah sekolah memiliki 1.245 buku di perpustakaan. Jika sekolah tersebut membeli 768 buku lagi, kemudian 389 buku dipinjam oleh siswa. Berapa jumlah buku yang tersisa di perpustakaan?","[""A. 1.624"", ""B. 1.500"", ""C. 1.800"", ""D. 1.700""]",A,1.624,"[""Langkah 1: Hitung jumlah buku setelah membeli buku baru. 1.245 + 768 = 2.013."", ""Langkah 2: Kurangi jumlah buku yang dipinjam. 2.013 - 389 = 1.624.""]",1.245 + 768 - 389,[],[],False,4.35,0.00019,baseline_no_pipeline
GPT-4o-mini,24,4,skala,perbandingan dan pengukuran,sulit,"Sebuah peta memiliki skala 1:200. Jika jarak antara dua kota pada peta adalah 5 cm, berapa jarak sebenarnya antara kedua kota tersebut dalam kilometer?","[""A. 0,01 km"", ""B. 0,1 km"", ""C. 1 km"", ""D. 10 km""]",A,"0,01","[""Langkah 1: Hitung jarak sebenarnya dengan mengalikan jarak pada peta dengan skala. Jarak sebenarnya = 5 cm x 200 = 1000 cm."", ""Langkah 2: Ubah jarak dari centimeter ke kilometer. 1000 cm = 1000 / 100000 = 0,01 km.""]","1000 cm = 0,01 km",[],[],False,5.5,0.00019,baseline_no_pipeline
GPT-4o-mini,25,4,penjumlahan_pengurangan,penjumlahan dan pengurangan bilangan bulat,sedang,"Sebuah toko menjual 125 buah pensil dan 78 buah penghapus. Jika 45 pensil dan 30 penghapus terjual, berapa sisa pensil dan penghapus yang ada di toko?","[""A. 80 pensil dan 48 penghapus"", ""B. 75 pensil dan 50 penghapus"", ""C. 70 pensil dan 40 penghapus"", ""D. 85 pensil dan 45 penghapus""]",A,80 pensil dan 48 penghapus,"[""Hitung sisa pensil: 125 - 45 = 80."", ""Hitung sisa penghapus: 78 - 30 = 48.""]",80 dan 48,[],[],False,3.69,0.00019,baseline_no_pipeline
GPT-4o-mini,26,4,penjumlahan_pengurangan,penjumlahan dan pengurangan bilangan bulat,sulit,"Sebuah toko memiliki 256 buah mainan. Setelah hari pertama, toko tersebut menjual 128 buah mainan. Pada hari kedua, toko tersebut membeli 75 buah mainan lagi. Berapa banyak mainan yang ada di toko setelah dua hari?","[""A. 203"", ""B. 200"", ""C. 210"", ""D. 195""]",A,203,"[""Langkah 1: Hitung jumlah mainan yang tersisa setelah penjualan pada hari pertama. 256 - 128 = 128."", ""Langkah 2: Tambahkan jumlah mainan yang dibeli pada hari kedua. 128 + 75 = 203.""]",256 - 128 + 75,[],[],True,4.39,0.00019,baseline_no_pipeline
GPT-4o-mini,27,4,kpk_fpb,FPB,sulit,Dua bilangan adalah 36 dan 60. Berapakah Faktor Persekutuan Terbesar (FPB) dari kedua bilangan tersebut?,"[""A. 12"", ""B. 18"", ""C. 24"", ""D. 30""]",A,12,"[""Langkah 1: Faktorkan bilangan 36 dan 60 ke dalam faktor prima. 36 = 2 x 2 x 3 x 3 dan 60 = 2 x 2 x 3 x 5."", ""Langkah 2: Ambil faktor prima yang sama dengan pangkat terkecil. Faktor prima yang sama adalah 2 dan 3. Jadi, FPB = 2^2 x 3^1 = 4 x 3 = 12.""]",2^2 x 3^1 = 12,[],[],False,3.63,0.0002,baseline_no_pipeline
GPT-4o-mini,28,4,aritmetika_sosial,penghitungan diskon,sedang,"Sebuah toko memberikan diskon 15% untuk semua barang. Jika harga sebuah tas adalah Rp 200.000, berapa harga tas setelah diskon?","[""A. Rp 170.000"", ""B. Rp 180.000"", ""C. Rp 150.000"", ""D. Rp 200.000""]",A,170000,"[""Langkah 1: Hitung jumlah diskon dengan cara mengalikan harga tas dengan persentase diskon: Rp 200.000 x 15% = Rp 200.000 x 0,15 = Rp 30.000."", ""Langkah 2: Kurangi harga tas dengan jumlah diskon untuk mendapatkan harga setelah diskon: Rp 200.000 - Rp 30.000 = Rp 170.000.""]","200000 - (200000 x 0,15)",[],[],False,4.72,0.0002,baseline_no_pipeline
GPT-4o-mini,29,4,aritmetika_sosial,penjumlahan dan pengurangan,mudah,"Siti memiliki 25 kelereng, dan dia memberi 8 kelereng kepada temannya. Berapa sisa kelereng yang dimiliki Siti?","[""A. 17"", ""B. 15"", ""C. 18"", ""D. 20""]",A,17,"[""Langkah 1: Hitung jumlah kelereng yang diberikan Siti kepada temannya, yaitu 8 kelereng."", ""Langkah 2: Kurangkan jumlah kelereng awal Siti dengan kelereng yang diberikan, yaitu 25 - 8.""]",25 - 8 = 17,[],[],True,3.52,0.00018,baseline_no_pipeline
GPT-4o-mini,30,4,penjumlahan_pengurangan,penjumlahan,mudah,"Siti memiliki 125 kelereng, dan dia membeli 37 kelereng lagi. Berapa jumlah kelereng Siti sekarang?","[""A. 162"", ""B. 150"", ""C. 175"", ""D. 140""]",A,162,"[""Langkah 1: Tambahkan jumlah kelereng awal dengan jumlah kelereng yang dibeli. 125 + 37."", ""Langkah 2: Hitung hasil penjumlahan tersebut.""]",125 + 37 = 162,[],[],True,4.0,0.00016,baseline_no_pipeline
GPT-4o-mini,31,4,pecahan,penjumlahan pecahan,sedang,"Jika Rina memiliki 3/4 kue dan dia memberikan 1/2 kue kepada temannya, berapa sisa kue yang dimiliki Rina?","[""A. 1/4"", ""B. 1/2"", ""C. 3/4"", ""D. 2/4""]",A,1/4,"[""Langkah 1: Ubah pecahan 1/2 menjadi pecahan dengan penyebut yang sama dengan 3/4. 1/2 = 2/4."", ""Langkah 2: Kurangkan 3/4 - 2/4 = 1/4. Jadi, sisa kue yang dimiliki Rina adalah 1/4.""]",3/4 - 2/4,[],[],True,3.74,0.00019,baseline_no_pipeline
GPT-4o-mini,32,4,penjumlahan_pengurangan,penjumlahan,mudah,"Jika Andi memiliki 25 kelereng dan dia membeli 15 kelereng lagi, berapa total kelereng yang dimiliki Andi sekarang?","[""A. 40"", ""B. 30"", ""C. 50"", ""D. 35""]",A,40,"[""Langkah 1: Jumlahkan kelereng yang dimiliki Andi dengan kelereng yang dibeli."", ""Langkah 2: 25 + 15 = 40""]",25 + 15,[],[],True,3.15,0.00016,baseline_no_pipeline
GPT-4o-mini,33,4,penjumlahan_pengurangan,penjumlahan dan pengurangan bilangan bulat,sedang,Sebuah toko menjual 125 buah kue di pagi hari dan 87 buah kue di sore hari. Berapa banyak kue yang terjual di hari itu?,"[""A. 212"", ""B. 200"", ""C. 210"", ""D. 220""]",A,212,"[""Langkah 1: Jumlahkan kue yang terjual di pagi dan sore hari: 125 + 87."", ""Langkah 2: Hitung hasil penjumlahan tersebut.""]",125 + 87 = 212,[],[],True,4.61,0.00017,baseline_no_pipeline
GPT-4o-mini,34,4,kpk_fpb,FPB,sedang,"Dari bilangan 24 dan 36, berapakah faktor persekutuan terbesar (FPB) dari kedua bilangan tersebut?","[""A. 12"", ""B. 6"", ""C. 18"", ""D. 24""]",A,12,"[""Langkah 1: Cari faktor dari 24, yaitu 1, 2, 3, 4, 6, 8, 12, 24."", ""Langkah 2: Cari faktor dari 36, yaitu 1, 2, 3, 4, 6, 9, 12, 18, 36."", ""Langkah 3: Temukan faktor yang sama dari kedua bilangan, yaitu 1, 2, 3, 4, 6, 12."", ""Langkah 4: Ambil faktor terbesar yang sama, yaitu 12.""]","FPB(24, 36) = 12",[],[],False,4.58,0.00022,baseline_no_pipeline
GPT-4o-mini,35,4,pengukuran,panjang,mudah,Sebuah meja memiliki panjang 150 cm dan lebar 75 cm. Berapa panjang meja dalam meter?,"[""A. 1,5"", ""B. 2,0"", ""C. 1,0"", ""D. 1,2""]",A,"1,5","[""Langkah 1: Ubah satuan dari cm ke m dengan membagi panjang dalam cm dengan 100."", ""Langkah 2: Hitung 150 cm ÷ 100 = 1,5 m.""]",150 cm ÷ 100,[],[],False,3.52,0.00016,baseline_no_pipeline
GPT-4o-mini,36,4,pengukuran,panjang,sedang,"Sebuah papan kayu memiliki panjang 2,5 meter. Jika papan tersebut dipotong menjadi 5 bagian yang sama panjang, berapa panjang setiap bagian papan kayu tersebut?","[""A. 0,5 meter"", ""B. 1 meter"", ""C. 1,5 meter"", ""D. 2 meter""]",A,"0,5 meter","[""Hitung panjang setiap bagian dengan membagi panjang total papan kayu dengan jumlah bagian: 2,5 meter ÷ 5."", ""Panjang setiap bagian papan kayu adalah 0,5 meter.""]","2,5 ÷ 5",[],[],False,3.77,0.00017,baseline_no_pipeline
GPT-4o-mini,37,4,pecahan,penjumlahan dan pengurangan pecahan,sulit,"Sebuah kue dibagi menjadi 8 bagian yang sama. Jika Rina mengambil 3 bagian dan Budi mengambil 2 bagian, berapa sisa bagian kue yang belum diambil?","[""A. 3"", ""B. 2"", ""C. 1"", ""D. 0""]",A,3,"[""Jumlah total bagian kue adalah 8."", ""Rina mengambil 3 bagian dan Budi mengambil 2 bagian, jadi total bagian yang diambil adalah 3 + 2 = 5 bagian. Maka, sisa bagian kue adalah 8 - 5 = 3 bagian.""]",8 - (3 + 2),[],[],True,3.7,0.00018,baseline_no_pipeline
GPT-4o-mini,38,4,kpk_fpb,FPB,sulit,Dua bilangan adalah 24 dan 36. Apa FPB dari kedua bilangan tersebut?,"[""A. 12"", ""B. 6"", ""C. 18"", ""D. 24""]",A,12,"[""Langkah 1: Faktorkan kedua bilangan. 24 = 2^3 x 3 dan 36 = 2^2 x 3^2."", ""Langkah 2: Ambil faktor yang sama dengan pangkat terkecil. FPB = 2^2 x 3^1 = 4 x 3 = 12.""]","FPB(24, 36) = 12",[],[],False,3.46,0.00018,baseline_no_pipeline
GPT-4o-mini,39,4,penjumlahan_pengurangan,penjumlahan dan pengurangan bilangan bulat,sulit,"Sebuah toko menjual 125 buah mainan. Pada hari pertama, toko tersebut menjual 47 buah mainan. Pada hari kedua, toko tersebut menjual 36 buah mainan. Berapa sisa mainan yang ada di toko setelah dua hari?","[""A. 42"", ""B. 38"", ""C. 50"", ""D. 45""]",A,42,"[""Langkah 1: Hitung total mainan yang terjual dalam dua hari: 47 + 36 = 83."", ""Langkah 2: Kurangkan total mainan yang terjual dari jumlah awal mainan: 125 - 83 = 42.""]",125 - (47 + 36),[],[],True,4.78,0.00019,baseline_no_pipeline
GPT-4o-mini,40,4,perkalian_pembagian,perkalian,sulit,"Sebuah kebun memiliki 48 pohon apel yang ditanam dalam 6 baris. Jika setiap baris memiliki jumlah pohon yang sama, berapa banyak pohon apel yang ada di setiap baris?","[""A. 8"", ""B. 6"", ""C. 10"", ""D. 12""]",A,8,"[""Langkah 1: Hitung jumlah pohon apel per baris dengan membagi total pohon dengan jumlah baris. 48 dibagi 6."", ""Langkah 2: 48 : 6 = 8. Jadi, ada 8 pohon apel di setiap baris.""]",48 : 6,[],[],True,3.74,0.00018,baseline_no_pipeline
GPT-4o-mini,41,4,pecahan,penjumlahan pecahan,mudah,"Jika Rina memiliki 1/4 kue dan Dika memiliki 1/2 kue, berapa total kue yang mereka miliki bersama?","[""A. 3/4"", ""B. 1/2"", ""C. 1/4"", ""D. 1""]",A,3/4,"[""Ubah pecahan 1/2 menjadi pecahan dengan penyebut yang sama dengan 1/4. 1/2 = 2/4."", ""Jumlahkan pecahan tersebut: 1/4 + 2/4 = 3/4.""]",1/4 + 1/2 = 3/4,[],[],True,3.84,0.00018,baseline_no_pipeline
GPT-4o-mini,42,4,skala,pembacaan skala,sedang,"Sebuah peta memiliki skala 1:100. Jika jarak antara dua kota di peta adalah 5 cm, berapa jarak sebenarnya antara kedua kota tersebut?","[""A. 500 cm"", ""B. 1000 cm"", ""C. 250 cm"", ""D. 300 cm""]",A,500 cm,"[""Menghitung jarak sebenarnya dengan mengalikan jarak di peta dengan skala."", ""Jarak sebenarnya = 5 cm x 100 = 500 cm.""]",5 cm x 100,[],[],False,3.29,0.00016,baseline_no_pipeline
GPT-4o-mini,43,4,kpk_fpb,FPB,sulit,Dua bilangan adalah 24 dan 36. Berapakah Faktor Persekutuan Terbesarnya (FPB) dari kedua bilangan tersebut?,"[""A. 12"", ""B. 6"", ""C. 18"", ""D. 24""]",A,12,"[""Langkah 1: Faktorkan kedua bilangan tersebut. 24 = 2^3 x 3^1 dan 36 = 2^2 x 3^2."", ""Langkah 2: Ambil faktor dengan pangkat terkecil dari masing-masing faktor. FPB = 2^2 x 3^1 = 4 x 3 = 12.""]","FPB(24, 36) = 12",[],[],False,4.36,0.00019,baseline_no_pipeline
GPT-4o-mini,44,4,pengolahan_data,diagram batang,mudah,"Sebuah kelas memiliki 30 siswa. 12 siswa menyukai matematika, 10 siswa menyukai sains, dan 8 siswa menyukai bahasa Inggris. Berapa banyak siswa yang menyukai sains jika kita menggambar diagram batang untuk data ini?","[""A. 10"", ""B. 12"", ""C. 8"", ""D. 15""]",A,10,"[""Identifikasi jumlah siswa yang menyukai sains yaitu 10 siswa."", ""Dalam diagram batang, jumlah siswa yang menyukai sains akan digambarkan dengan tinggi batang yang sesuai dengan angka 10.""]",Jumlah siswa yang menyukai sains = 10,[],[],False,4.02,0.00018,baseline_no_pipeline
GPT-4o-mini,45,4,pengukuran,panjang,mudah,"Sebuah meja memiliki panjang 120 cm dan lebar 80 cm. Jika panjang meja tersebut diukur dalam meter, berapa panjang meja itu?","[""A. 1,2 m"", ""B. 1,5 m"", ""C. 2 m"", ""D. 0,8 m""]",A,"1,2","[""Langkah 1: Ubah panjang meja dari cm ke m dengan cara membagi 120 cm dengan 100."", ""Langkah 2: Hitung hasilnya.""]","120 cm ÷ 100 = 1,2 m",[],[],False,3.68,0.00017,baseline_no_pipeline
GPT-4o-mini,46,4,pecahan,penjumlahan pecahan,mudah,"Jika Rina memiliki 2/5 dari sebuah kue dan Dika memiliki 1/5 dari kue yang sama, berapa total bagian kue yang mereka miliki?","[""A. 3/5"", ""B. 1/2"", ""C. 4/5"", ""D. 1/5""]",A,3/5,"[""Langkah 1: Jumlahkan pecahan yang dimiliki Rina dan Dika, yaitu 2/5 + 1/5."", ""Langkah 2: Karena penyebutnya sama, kita cukup menjumlahkan pembilangnya: 2 + 1 = 3. Jadi, totalnya adalah 3/5.""]",2/5 + 1/5 = 3/5,[],[],True,5.09,0.00019,baseline_no_pipeline
GPT-4o-mini,47,4,pengukuran,panjang,sedang,"Sebuah tali memiliki panjang 2,5 meter. Jika tali tersebut dipotong menjadi 5 bagian yang sama, berapa panjang setiap bagian tali tersebut?","[""A. 0,5 meter"", ""B. 1 meter"", ""C. 2 meter"", ""D. 2,5 meter""]",A,"0,5 meter","[""Hitung panjang setiap bagian tali dengan membagi total panjang tali dengan jumlah bagian yang diinginkan."", ""Panjang setiap bagian tali = 2,5 meter ÷ 5 = 0,5 meter.""]","2,5 meter ÷ 5",[],[],False,3.81,0.00017,baseline_no_pipeline
GPT-4o-mini,48,4,kpk_fpb,FPB,mudah,"Dari angka 18 dan 24, berapakah Faktor Persekutuan Terbesarnya (FPB)?","[""A. 6"", ""B. 12"", ""C. 3"", ""D. 9""]",A,6,"[""Langkah 1: Faktorkan angka 18 dan 24 ke dalam faktor primanya. 18 = 2 x 3 x 3 dan 24 = 2 x 2 x 2 x 3."", ""Langkah 2: Identifikasi faktor-faktor yang sama. Faktor yang sama adalah 2 dan 3. Maka, FPB = 2 x 3 = 6.""]",2 x 3,[],[],False,4.04,0.00018,baseline_no_pipeline
