model,question_id,grade,topic,subtopic,difficulty,question,choices,correct_option,answer_value,solution_steps,answer_expression,source_chunks,retrieved_context_texts,math_checker_pass,latency_sec,note
Qwen2.5-7B-INT4,11,4,pengolahan_data,pemetaan_data,mudah,"Dari hasil survei tentang hewan favorit di kelas, terdapat 12 siswa suka kucing, 8 siswa suka anjing, dan sisanya suka burung. Jika kelas terdiri dari 30 siswa, berapa banyak siswa yang suka burung?","[""A. 12"", ""B. 8"", ""C. 10"", ""D. 15""]",C,10,"[""Total jumlah siswa yang disukai hewan adalah 12 (kucing) + 8 (anjing) = 20 siswa."", ""Jumlah siswa yang suka burung adalah 30 (total siswa) - 20 (siswa yang suka kucing dan anjing) = 10 siswa.""]",10,[],[],True,20.07,baseline_no_pipeline
Qwen2.5-7B-INT4,12,4,pengolahan_data,pemetaan_data,sedang,"Sebuah kelas memiliki 30 murid. Dari 30 murid tersebut, 12 murid gemar bola voli, 8 murid gemar bola sepak, dan sisanya gemar bola basket. Berapakah jumlah murid yang gemar bola basket?","[""A. 12"", ""B. 15"", ""C. 10"", ""D. 20""]",C,10,"[""Tentukan jumlah murid yang gemar bola voli dan bola sepak: 12 + 8 = 20"", ""Kurangi jumlah murid yang gemar bola voli dan bola sepak dari total murid: 30 - 20 = 10""]",10,[],[],True,18.58,baseline_no_pipeline
Qwen2.5-7B-INT4,13,4,pecahan,operasi pecahan,sedang,"Sebuah kue dipotong menjadi 8 bagian sama besar. Jika Andi makan 3/8 bagian kue dan Budi makan 2/8 bagian kue, berapa pecahan bagian kue yang belum dimakan?","[""A. 2/8"", ""B. 3/8"", ""C. 4/8"", ""D. 5/8""]",B,3/8,"[""Langkah pertama, kita hitung berapa bagian kue yang sudah dimakan oleh Andi dan Budi:"", ""Andi makan 3/8 bagian kue, Budi makan 2/8 bagian kue. Jadi, total pecahan kue yang sudah dimakan adalah: 3/8 + 2/8 = 5/8.""]",1 - 5/8 = 8/8 - 5/8 = 3/8,[],[],True,21.41,baseline_no_pipeline
Qwen2.5-7B-INT4,14,4,aritmetika sosial,pengelompokan data,sedang,"Siswa kelas 4 SD mengikuti kegiatan belajar mandiri dengan membaca buku. Jika 30 siswa membaca 10 buku, 20 siswa membaca 15 buku, dan sisanya membaca 20 buku, berapa rata-rata buku yang dibaca oleh setiap siswa?","[""A. 10 buku"", ""B. 12 buku"", ""C. 14 buku"", ""D. 16 buku""]",B,12,"[""Hitung total buku yang dibaca: (30 siswa x 10 buku) + (20 siswa x 15 buku) + (sisanya x 20 buku)"", ""Tentukan jumlah siswa: 30 + 20 + (total siswa - 50)""]","12,0 buku",[],[],False,21.65,baseline_no_pipeline
Qwen2.5-7B-INT4,15,4,Bilangan,Penjumlahan bilangan,mudah,Andi memiliki 15 buku dan ia membeli 7 buku lagi. Berapa jumlah buku Andi sekarang?,"[""A. 20"", ""B. 22"", ""C. 24"", ""D. 26""]",B,22,"[""Langkah pertama, kita perlu menambahkan jumlah buku yang sudah dimiliki Andi dengan jumlah buku yang dibeli."", ""Jadi, 15 + 7 = 22.""]",22,[],[],True,14.84,baseline_no_pipeline
Qwen2.5-7B-INT4,16,4,Geometri,Menghitung keliling bangun datar,sedang,Sebuah persegi panjang memiliki panjang 12 cm dan lebar 8 cm. Berapakah keliling persegi panjang tersebut?,"[""A. 32 cm"", ""B. 40 cm"", ""C. 48 cm"", ""D. 56 cm""]",B,40,"[""Langkah pertama, kita perlu mengingat rumus untuk menghitung keliling persegi panjang: K = 2 × (panjang + lebar)."", ""Langkah kedua, kita substitusi nilai panjang dan lebar ke dalam rumus: K = 2 × (12 cm + 8 cm).""]",40 cm,[],[],False,17.78,baseline_no_pipeline
Qwen2.5-7B-INT4,17,4,kpk_fpb,kpk,mudah,Andi memiliki 36 buku dan Budi memiliki 48 buku. Mereka ingin membagikan buku-bukunya ke dalam paket yang sama besar tanpa sisa. Berapakah ukuran paket terbesar yang bisa mereka gunakan?,"[""A. 12"", ""B. 24"", ""C. 36"", ""D. 48""]",D,48,"[""Langkah pertama, kita cari faktor prima dari 36 dan 48."", ""Faktor prima dari 36 adalah: 2 × 2 × 3 × 3"", ""Faktor prima dari 48 adalah: 2 × 2 × 2 × 2 × 3"", ""Langkah kedua, kita pilih faktor-prima yang sama dan beri pangkat terkecil."", ""Faktor-prima yang sama adalah 2 dan 3. Untuk 2, pangkat terkecilnya adalah 2, dan untuk 3, pangkat terkecilnya adalah 1."", ""Jadi, KPK dari 36 dan 48 adalah 2 × 2 × 2 × 2 × 3 = 48.""]","KPK(36, 48) = 48",[],[],False,27.62,baseline_no_pipeline
Qwen2.5-7B-INT4,18,4,pecahan,operasi pecahan,sedang,"Sebuah kue dibagi menjadi 8 bagian yang sama. Jika Rina makan 3/8 dari kue tersebut dan Yudi makan 2/8 dari kue tersebut, berapa pecahan kue yang belum dimakan?","[""A. 3/8"", ""B. 5/8"", ""C. 3/4"", ""D. 5/4""]",A,3/8,"[""Langkah pertama, kita hitung total pecahan kue yang sudah dimakan oleh Rina dan Yudi."", ""Pecahan kue yang dimakan Rina adalah 3/8 dan Yudi adalah 2/8. Jadi, total pecahan kue yang sudah dimakan adalah 3/8 + 2/8.""]",3/8 + 2/8 = 5/8,[],[],False,19.86,baseline_no_pipeline
Qwen2.5-7B-INT4,19,4,penjumlahan_pengurangan,penjumlahan_sederhana,mudah,Andi memiliki 15 buku. Ia membeli 7 buku lagi kemudian memberikan 3 buku kepada temannya. Berapa banyak buku yang dimiliki Andi sekarang?,"[""A. 10"", ""B. 15"", ""C. 19"", ""D. 22""]",C,19,"[""Langkah pertama, kita hitung berapa banyak buku yang dimiliki Andi setelah membeli 7 buku lagi: 15 + 7 = 22 buku."", ""Langkah kedua, kita kurangi jumlah buku tersebut dengan jumlah buku yang diberikan kepada temannya: 22 - 3 = 19 buku.""]",19,[],[],True,19.2,baseline_no_pipeline
Qwen2.5-7B-INT4,20,4,Geometri,Macam-macam bentuk bangun datar,mudah,Berikut ini adalah ciri-ciri dari bangun datar mana yang benar? <br>A. Segitiga memiliki 3 sisi<br>B. Persegi panjang memiliki 4 sudut lancip<br>C. Jajaran genjang tidak memiliki sudut sama besar<br>D. Trapesium memiliki 4 sisi yang sama panjang,"[""A. Segitiga memiliki 3 sisi"", ""B. Persegi panjang memiliki 4 sudut lancip"", ""C. Jajaran genjang tidak memiliki sudut sama besar"", ""D. Trapesium memiliki 4 sisi yang sama panjang""]",A,A,"[""Segitiga memiliki 3 sisi, ini merupakan ciri bangun datar segitiga."", ""Persegi panjang memiliki 4 sudut lancip, ini merupakan ciri bangun datar persegi panjang.""]",Segitiga memiliki 3 sisi,[],[],False,21.55,baseline_no_pipeline
Qwen2.5-7B-INT4,21,4,pengukuran,satuan pengukuran panjang,sedang,"Sebuah tali panjangnya 3 meter 50 sentimeter. Jika tali tersebut diubah ke satuan sentimeter, maka panjang tali tersebut adalah...","[""A. 250 cm"", ""B. 300 cm"", ""C. 350 cm"", ""D. 400 cm""]",C,350,"[""Langkah pertama, kita perlu mengubah meter menjadi sentimeter. Kita ketahui bahwa 1 meter = 100 sentimeter."", ""Jadi, 3 meter = 3 × 100 = 300 sentimeter.""]",300 + 50,[],[],True,17.35,baseline_no_pipeline
Qwen2.5-7B-INT4,22,4,aritmetika sosial,pengelolaan uang,sedang,"Sinta membeli 3 buku dengan harga masing-masing Rp 15.000, Rp 20.000, dan Rp 25.000. Jika dia membayar dengan uang Rp 100.000, berapakah uang kembalian yang akan diterimanya?","[""A. Rp 30.000"", ""B. Rp 40.000"", ""C. Rp 50.000"", ""D. Rp 60.000""]",B,40.0,"[""Hitung total biaya pembelian buku: 15.000 + 20.000 + 25.000 = 60.000"", ""Kurangi total biaya dari uang yang dibayarkan: 100.000 - 60.000 = 40.000""]",Rp 40.000,[],[],False,24.07,baseline_no_pipeline
Qwen2.5-7B-INT4,23,4,Bilangan,Pembulatan Bilangan,sulit,"Sebuah toko buku memiliki stok buku sebanyak 1234 buah. Jika stok tersebut dibulatkan ke ratusan terdekat, berapakah jumlah buku yang dibulatkan?","[""A. 1100"", ""B. 1200"", ""C. 1300"", ""D. 1230""]",B,1200,"[""Bulatkan 1234 ke ratusan terdekat."", ""1234 berada antara 1200 dan 1300, tetapi lebih dekat ke 1200.""]",1234 dibulatkan ke ratusan terdekat adalah 1200,[],[],False,18.98,baseline_no_pipeline
Qwen2.5-7B-INT4,24,4,Skala,Pengukuran skala,sulit,"Sebuah peta menggunakan skala 1 : 500.000. Jarak sebenarnya antara dua kota di peta adalah 3,5 cm. Berapa jarak sebenarnya antara dua kota tersebut dalam kilometer?","[""A. 15 km"", ""B. 17,5 km"", ""C. 20 km"", ""D. 22,5 km""]",B,17.5,"[""Langkah pertama, kita perlu mengubah skala menjadi satuan yang sama. Skala 1 : 500.000 berarti 1 cm di peta setara dengan 500.000 cm di dunia nyata."", ""Karena jarak di peta adalah 3,5 cm, maka jarak sebenarnya dalam centimeter adalah: 3,5 cm x 500.000 = 1.750.000 cm.""]","Jarak sebenarnya adalah 1.750.000 cm, yang setara dengan 17,5 km.",[],[],False,25.33,baseline_no_pipeline
Qwen2.5-7B-INT4,25,4,penjumlahan_pengurangan,penjumlahan dan pengurangan bilangan pecahan,sedang,"Sebuah potongan kertas berukuran 3/4 meter. Jika potongan kertas tersebut dipotong menjadi dua bagian yang sama, berapa ukuran setiap potongan kertas?","[""A. 1/4"", ""B. 3/8"", ""C. 1/2"", ""D. 3/4""]",B,3/8,"[""Langkah pertama, kita perlu mengetahui berapa ukuran total dari dua potongan kertas yang sama setelah dipotong. Karena ukuran totalnya tetap, maka ukuran kedua potongan kertas akan sama dengan 3/4 dibagi 2."", ""Langkah kedua, kita hitung hasil pembagian 3/4 oleh 2. Ini dapat dilakukan dengan cara mengalikan 3/4 dengan kebalikan dari 2, yaitu 1/2.""]",3/4 : 2 = 3/8,[],[],True,22.55,baseline_no_pipeline
Qwen2.5-7B-INT4,26,4,penjumlahan_pengurangan,operasi campuran,sulit,"Sebuah toko buku awalnya memiliki 345 buah buku. Setelah menjual 128 buah dan membeli lagi 175 buah, berapa jumlah buku yang dimiliki toko buku tersebut?","[""A. 320"", ""B. 392"", ""C. 467"", ""D. 570""]",B,392,"[""Langkah pertama, kita menghitung jumlah buku setelah penjualan: 345 - 128 = 217 buah."", ""Langkah kedua, kita menambahkan jumlah buku yang dibeli: 217 + 175 = 392 buah.""]",217 + 175,[],[],True,19.42,baseline_no_pipeline
Qwen2.5-7B-INT4,27,4,KPK dan FPB,Penerapan KPK dan FPB dalam Masalah Hidup Sehari-hari,sulit,Andi memiliki 36 buku dan Budi memiliki 48 buku. Mereka ingin membagikan buku kepada teman-temannya dengan jumlah buku yang sama. Berapakah jumlah buku terbesar yang dapat dibagikan kepada setiap teman agar tidak ada sisa?,"[""A. 6 buku"", ""B. 12 buku"", ""C. 18 buku"", ""D. 24 buku""]",B,12,"[""Langkah pertama, kita perlu menemukan Faktor Persekutuan Terbesar (FPB) dari 36 dan 48."", ""Faktor prima dari 36 adalah: 2 × 2 × 3 × 3"", ""Faktor prima dari 48 adalah: 2 × 2 × 2 × 2 × 3"", ""FPB dari 36 dan 48 adalah 2 × 2 × 3 = 12.""]","FPB(36, 48) = 12",[],[],False,25.74,baseline_no_pipeline
Qwen2.5-7B-INT4,28,4,aritmetika sosial,pembagian uang,sedang,"Rina membeli 3 buah buku dengan harga masing-masing Rp 15.000, Rp 20.000, dan Rp 25.000. Ia membayar dengan uang Rp 100.000. Berapakah uang kembalian yang diterima Rina?","[""A. Rp 30.000"", ""B. Rp 40.000"", ""C. Rp 50.000"", ""D. Rp 60.000""]",B,40.0,"[""Hitung total harga buku: 15.000 + 20.000 + 25.000 = 60.000"", ""Kurangi total harga dari uang yang dibayarkan: 100.000 - 60.000 = 40.000""]",Rp 40.000,[],[],False,23.42,baseline_no_pipeline
Qwen2.5-7B-INT4,29,4,aritmetika sosial,pengelompokan data,mudah,"Sinta membuat kumpulan data tentang jumlah buku yang dibaca oleh teman-temannya. Jika Sinta mengelompokkan data tersebut menjadi 3 kategori: sedikit (1-5 buku), cukup (6-10 buku), dan banyak (lebih dari 10 buku). Berdasarkan data, ada 8 teman yang termasuk ke dalam kategori sedikit, 12 teman yang termasuk ke dalam kategori cukup, dan 5 teman yang termasuk ke dalam kategori banyak. Berapa persen teman yang termasuk ke dalam kategori sedikit?","[""A. 20%"", ""B. 32%"", ""C. 40%"", ""D. 50%""]",B,32,"[""Jumlah total teman = 8 + 12 + 5 = 25 orang"", ""Persen teman yang termasuk ke dalam kategori sedikit = (8/25) x 100% = 32%""]",32%,[],[],False,24.89,baseline_no_pipeline
Qwen2.5-7B-INT4,30,4,penjumlahan pengurangan,operasi campuran,mudah,Andi memiliki 25 buku. Ia membeli 13 buku lagi kemudian memberikan 8 buku kepada temannya. Berapa banyak buku yang dimiliki Andi sekarang?,"[""A. 27 buku"", ""B. 30 buku"", ""C. 33 buku"", ""D. 36 buku""]",B,30,"[""Langkah pertama, kita hitung jumlah buku yang dimiliki Andi setelah membeli: 25 + 13 = 38."", ""Langkah kedua, kita kurangi jumlah buku tersebut dengan jumlah buku yang diberikan: 38 - 8 = 30.""]",Andi memiliki 30 buku sekarang,[],[],False,19.36,baseline_no_pipeline
Qwen2.5-7B-INT4,31,4,Pecahan,Penjumlahan pecahan dengan penyebut berbeda,sedang,"Teresi memiliki 3/8 kg telur. Setelah memecahkan beberapa butir, teresi menyisakan 1/4 kg telur. Berapa banyak telur yang teresi pecahkan?","[""A. 1/2 kg"", ""B. 1 1/2 kg"", ""C. 2 1/2 kg"", ""D. 3 1/2 kg""]",B,"1,5","[""Langkah pertama, kita perlu mengetahui berapa banyak telur yang hilang, yaitu selisih antara 3/8 kg dan 1/4 kg."", ""Untuk mengurangi pecahan dengan penyebut berbeda, kita harus mengubah penyebutnya menjadi sama. Penyebut yang sama adalah KPK dari 8 dan 4, yaitu 8.""]",1 1/2,[],[],False,21.4,baseline_no_pipeline
Qwen2.5-7B-INT4,32,4,penjumlahan_pengurangan,operasi campuran,mudah,Andi memiliki 25 buah apel. Ia memberikan 9 buah apel kepada Budi dan 6 buah apel kepada Cici. Berapa buah apel yang masih dimiliki Andi?,"[""A. 15"", ""B. 17"", ""C. 10"", ""D. 20""]",C,10,"[""Langkah pertama, kita hitung berapa jumlah apel yang diberikan oleh Andi: 9 + 6 = 15."", ""Langkah kedua, kita kurangi jumlah apel yang diberikan dari jumlah awal: 25 - 15 = 10.""]",10,[],[],True,17.91,baseline_no_pipeline
Qwen2.5-7B-INT4,33,4,penjumlahan_pengurangan,operasi campuran,sedang,"Sebuah toko buku memiliki stok 378 buku pada awal bulan. Selama bulan tersebut, toko tersebut menambah stok dengan jumlah buku sebanyak 156 buku, namun juga mengambil 92 buku untuk dipasang di rak. Berapa banyak buku yang tersisa di toko buku tersebut pada akhir bulan?","[""A. 442 buku"", ""B. 534 buku"", ""C. 378 buku"", ""D. 456 buku""]",A,442,"[""Langkah pertama, kita hitung jumlah buku setelah ditambah dengan stok baru: 378 + 156 = 534."", ""Langkah kedua, kita kurangi jumlah buku tersebut dengan jumlah buku yang diambil: 534 - 92 = 442.""]",442 buku,[],[],False,22.31,baseline_no_pipeline
Qwen2.5-7B-INT4,34,4,kpk_fpb,menentukan KPK dan FPB dua bilangan,sedang,Dua buah bilangan adalah 18 dan 30. Berapakah KPK dari kedua bilangan tersebut?,"[""A. 60"", ""B. 72"", ""C. 80"", ""D. 90""]",D,90,"[""Faktorisasi prima dari 18 adalah 2 × 3²"", ""Faktorisasi prima dari 30 adalah 2 × 3 × 5""]",2 × 3² × 5 = 90,[],[],False,15.84,baseline_no_pipeline
Qwen2.5-7B-INT4,35,4,Pengukuran,Satuan Panjang,mudah,Sebuah tali panjangnya 3 meter. Berapa banyak tali tersebut dalam sentimeter?,"[""A. 200 cm"", ""B. 300 cm"", ""C. 400 cm"", ""D. 500 cm""]",B,300,"[""1 meter = 100 sentimeter"", ""3 meter = 3 x 100 sentimeter = 300 sentimeter""]",300 cm,[],[],False,14.09,baseline_no_pipeline
Qwen2.5-7B-INT4,36,4,Pengukuran,Konversi satuan panjang,sedang,"Sebuah tali memiliki panjang 3,5 meter. Jika dinyatakan dalam sentimeter, berapa panjang tali tersebut?","[""A. 300 cm"", ""B. 350 cm"", ""C. 400 cm"", ""D. 450 cm""]",B,350,"[""1 meter = 100 sentimeter"", ""3,5 meter = 3,5 × 100 sentimeter = 350 sentimeter""]",350 cm,[],[],False,15.33,baseline_no_pipeline
Qwen2.5-7B-INT4,37,4,Pecahan,Operasi pecahan,sulit,"Sebuah kue dipotong menjadi 8 bagian yang sama. Jika Ali makan 3/8 kue dan Budi makan 2/8 kue, berapa pecahan kue yang tersisa?","[""A. Lima delapan"", ""B. Tiga delapan"", ""C. Enam delapan"", ""D. Empat delapan""]",B,3/8,"[""Ali makan 3/8 kue."", ""Budi makan 2/8 kue."", ""Total pecahan kue yang dimakan adalah 3/8 + 2/8 = 5/8."", ""Pecahan kue yang tersisa adalah 1 - 5/8 = 8/8 - 5/8 = 3/8.""]",Tiga delapan,[],[],False,20.1,baseline_no_pipeline
Qwen2.5-7B-INT4,38,4,kpk_fpb,menentukan KPK dua bilangan,sulit,"Dua buah bilangan bulat, a dan b, memiliki faktor prima 2, 3, dan 5. Jika a = 2^3 * 3^2 * 5 dan b = 2^2 * 3 * 5^3, berapakah KPK dari a dan b?","[""A. 600"", ""B. 900"", ""C. 1200"", ""D. 1500""]",C,1200,"[""Identifikasi faktor prima yang sama dalam kedua bilangan: 2, 3, dan 5."", ""Tentukan pangkat tertinggi dari setiap faktor prima yang ada dalam kedua bilangan: 2^3, 3^2, dan 5^3.""]",2^3 * 3^2 * 5^3,[],[],False,21.48,baseline_no_pipeline
Qwen2.5-7B-INT4,39,4,penjumlahan_pengurangan,operasi campuran,sulit,"Sebuah toko menjual 234 buku pada hari pertama, 187 buku pada hari kedua, dan mengalami pengembalian 96 buku. Berapa banyak buku yang tersisa di toko tersebut?","[""A. 325 buku"", ""B. 350 buku"", ""C. 421 buku"", ""D. 415 buku""]",A,325,"[""Langkah pertama, hitung jumlah buku yang terjual selama dua hari: 234 + 187 = 421 buku."", ""Langkah kedua, kurangi jumlah buku yang terjual dengan jumlah buku yang dikembalikan: 421 - 96 = 325 buku.""]",325 buku,[],[],False,20.43,baseline_no_pipeline
Qwen2.5-7B-INT4,40,4,perkalian_pembagian,masalah sehari-hari,sulit,"Sebuah toko menjual buku dengan harga Rp 3.500 per buah. Jika seorang pelanggan membeli 12 buah buku dan membayar uang Rp 40.000, berapa uang kembalian yang akan diterima pelanggan tersebut?","[""A. Rp 2.000"", ""B. Rp 2.500"", ""C. Rp 3.000"", ""D. Rp 3.500""]",A,-2.000,"[""Hitung total biaya untuk 12 buah buku: 12 × 3.500 = 42.000"", ""Kurangi total biaya dari jumlah uang yang dibayarkan: 40.000 - 42.000 = -2.000""]",Pelanggan harus membayar tambahan Rp 2.000,[],[],False,22.41,baseline_no_pipeline
Qwen2.5-7B-INT4,41,4,pecahan,penjumlahan pecahan dengan penyebut sama,mudah,Teresi memiliki 3/8 potongan roti. Ia membeli lagi 1/8 potongan roti. Berapa bagian roti yang dimiliki Teresi sekarang?,"[""A. 4/8"", ""B. 5/8"", ""C. 3/8"", ""D. 2/8""]",A,4,"[""Langkah pertama, kita menambah pembilang dari kedua pecahan: 3 + 1 = 4."", ""Langkah kedua, kita tetapkan penyebutnya karena penyebutnya sama: 8.""]",4/8,[],[],False,16.99,baseline_no_pipeline
Qwen2.5-7B-INT4,42,4,Skala,Penggunaan skala dalam pemetaan,sedang,"Sebuah peta menggunakan skala 1 : 50000. Jika jarak dua titik pada peta adalah 3 cm, berapa kilometer jarak sebenarnya antara dua titik tersebut?","[""A. 150 km"", ""B. 1,5 km"", ""C. 15 km"", ""D. 1500 km""]",B,1.5,"[""Langkah pertama, kita perlu mengubah skala menjadi satuan yang sama. Skala 1 : 50000 berarti 1 cm pada peta setara dengan 50000 cm sebenarnya."", ""Jadi, jika jarak pada peta adalah 3 cm, maka jarak sebenarnya adalah 3 cm x 50000 = 150000 cm.""]",150000 cm,[],[],False,21.31,baseline_no_pipeline
Qwen2.5-7B-INT4,43,4,KPK dan FPB,Penerapan KPK dan FPB dalam Penyelesaian Masalah,sulit,Andi memiliki 36 buku cerita dan 48 buku ilmiah. Dia ingin membaginya menjadi beberapa kelompok dengan jumlah buku yang sama per kelompok tanpa ada sisa. Berapa jumlah maksimum buku yang dapat dimasukkan ke setiap kelompok?,"[""A. 6"", ""B. 8"", ""C. 12"", ""D. 16""]",C,12,"[""Langkah pertama, kita cari KPK dari 36 dan 48."", ""Faktorisasi prima 36 = 2² × 3²"", ""Faktorisasi prima 48 = 2⁴ × 3"", ""KPK = 2⁴ × 3² = 16 × 9 = 144"", ""Langkah kedua, kita cari FPB dari 36 dan 48 karena FPB akan memberikan hasil yang sama dengan jumlah maksimum buku yang dapat dimasukkan ke setiap kelompok tanpa sisa."", ""FPB = 2² × 3 = 4 × 3 = 12""]","FPB(36, 48) = 12",[],[],False,27.51,baseline_no_pipeline
Qwen2.5-7B-INT4,44,4,pengolahan_data,pemetaan,mudah,"Sinta membuat pemetaan tentang jenis hewan di kampungnya. Jika hewan berkaki empat ada 15, hewan berkaki dua ada 10, dan hewan berkaki enam ada 3, berapa jumlah hewan yang ada di kampung Sinta?","[""A. 28"", ""B. 30"", ""C. 32"", ""D. 34""]",A,28,"[""Jumlah hewan = hewan berkaki empat + hewan berkaki dua + hewan berkaki enam"", ""Jumlah hewan = 15 + 10 + 3""]",28,[],[],True,17.1,baseline_no_pipeline
